Date,Close,Change
2014-09-17,27851.640625,0.0
2014-09-18,25774.119140625,-0.07459242751072226
2014-09-19,24023.3359375,-0.06792795492147108
2014-09-20,24881.80859375,0.03573494782254372
2014-09-21,24268.2578125,-0.02465860867542069
2014-09-22,24503.12109375,0.00967779735424723
2014-09-23,26600.681640625,0.0856038109941033
2014-09-24,25785.87890625,-0.030630896808697572
2014-09-25,25241.833984375,-0.021098560334243066
2014-09-26,24726.54296875,-0.020414167050776588
2014-09-27,24426.65234375,-0.012128287621080314
2014-09-28,23060.845703125,-0.05591460595600062
2014-09-29,23108.1171875,0.0020498590981246068
2014-09-30,23961.5078125,0.036930340021887664
2014-10-01,23672.880859375,-0.012045442022410313
2014-10-02,23080.0546875,-0.02504241775205096
2014-10-03,22122.5703125,-0.04148535989035451
2014-10-04,20236.76953125,-0.08524329472622172
2014-10-05,19722.583984375,-0.025408479652890503
2014-10-06,20311.412109375,0.02985552630763255
2014-10-07,20604.90234375,0.014449523883154125
2014-10-08,21652.869140625,0.05086007103512791
2014-10-09,22281.1875,0.029017787679515905
2014-10-10,22152.904296875,-0.005757467061618726
2014-10-11,22198.060546875,0.002038389612253777
2014-10-12,23193.697265625,0.04485241927543826
2014-10-13,23813.302734375,0.026714389760890134
2014-10-14,24607.404296875,0.03334697296539635
2014-10-15,24227.21875,-0.015450046753744062
2014-10-16,23611.35546875,-0.025420304641860736
2014-10-17,23543.552734375,-0.0028716155014792966
2014-10-18,24014.966796875,0.020023063970787458
2014-10-19,23898.646484375,-0.004843659101587239
2014-10-20,23437.771484375,-0.019284564935563298
2014-10-21,23627.150390625,0.008080073072486815
2014-10-22,23443.521484375,-0.007771944699808686
2014-10-23,21920.783203125,-0.06495347903534454
2014-10-24,21916.380859375,-0.00020082967425050224
2014-10-25,21239.09375,-0.030903236885723384
2014-10-26,21693.697265625,0.02140409195307602
2014-10-27,21634.697265625,-0.0027196839375780435
2014-10-28,21876.56640625,0.011179686854657422
2014-10-29,20563.337890625,-0.060029005065887264
2014-10-30,21210.359375,0.03146480828241316
2014-10-31,20769.52734375,-0.020783807735459403
2014-11-01,19997.73046875,-0.03716005965018987
2014-11-02,20006.509765625,0.0004390146616246593
2014-11-03,20115.08984375,0.005427237404075358
2014-11-04,20254.203125,0.006915866761252554
2014-11-05,20851.23046875,0.029476713552511136
2014-11-06,21477.841796875,0.030051527609562978
2014-11-07,21060.234375,-0.019443639906862598
2014-11-08,21249.240234375,0.008974537320409093
2014-11-09,22342.552734375,0.05145183959242661
2014-11-10,22554.818359375,0.009500509074481078
2014-11-11,22615.08203125,0.002671875734700846
2014-11-12,25989.703125,0.14921993601822336
2014-11-13,25913.068359375,-0.0029486587536771136
2014-11-14,24547.359375,-0.052703484027236236
2014-11-15,23209.287109375,-0.05450982507665347
2014-11-16,23934.2578125,0.0312362331384215
2014-11-17,23949.5625,0.0006394469224779709
2014-11-18,23155.34375,-0.03316214022698749
2014-11-19,23567.771484375,0.01781134146950425
2014-11-20,22157.453125,-0.059840972249328495
2014-11-21,21669.25,-0.022033359260463237
2014-11-22,21797.22265625,0.005905726144190604
2014-11-23,22702.2265625,0.041519230248836525
2014-11-24,23311.326171875,0.02682995025611823
2014-11-25,23215.2734375,-0.004120432002315155
2014-11-26,22757.8984375,-0.019701469432670815
2014-11-27,22862.2421875,0.004584946641121412
2014-11-28,23413.12109375,0.024095576528849527
